time	V(n006)
1.333449010784373e-04	3.044541e+00
1.337355260784373e-04	3.044301e+00
1.341261510784373e-04	3.044067e+00
1.345167760784373e-04	3.043840e+00
1.349074010784373e-04	3.043617e+00
1.352980260784373e-04	3.043400e+00
1.356886510784373e-04	3.043186e+00
1.360792760784373e-04	3.042978e+00
1.364699010784374e-04	3.042773e+00
1.368605260784374e-04	3.042571e+00
1.372511510784374e-04	3.042373e+00
1.376417760784374e-04	3.042178e+00
1.380324010784374e-04	3.041986e+00
1.384230260784374e-04	3.041796e+00
1.388136510784374e-04	3.041609e+00
1.392042760784374e-04	3.041424e+00
1.395949010784374e-04	3.041241e+00
1.399855260784375e-04	3.041060e+00
1.403761510784375e-04	3.040881e+00
1.407667760784375e-04	3.040704e+00
1.411574010784375e-04	3.040528e+00
1.415480260784375e-04	3.040353e+00
1.419386510784375e-04	3.040180e+00
1.423292760784375e-04	3.040008e+00
1.427199010784375e-04	3.039837e+00
1.431105260784375e-04	3.039667e+00
1.435011510784376e-04	3.039498e+00
1.438917760784376e-04	3.039330e+00
1.442824010784376e-04	3.039163e+00
1.446730260784376e-04	3.038996e+00
1.450636510784376e-04	3.038831e+00
1.454542760784376e-04	3.038666e+00
1.458449010784376e-04	3.038501e+00
1.462355260784376e-04	3.038337e+00
1.466261510784376e-04	3.038174e+00
1.470167760784377e-04	3.038011e+00
1.474074010784377e-04	3.037848e+00
1.477980260784377e-04	3.037686e+00
1.481886510784377e-04	3.037524e+00
1.485792760784377e-04	3.037363e+00
1.489699010784377e-04	3.037202e+00
1.493605260784377e-04	3.037041e+00
1.497511510784377e-04	3.036881e+00
1.501417760784377e-04	3.036721e+00
1.505324010784378e-04	3.036561e+00
1.509230260784378e-04	3.036401e+00
1.513136510784378e-04	3.036242e+00
1.517042760784378e-04	3.036082e+00
1.520949010784378e-04	3.035923e+00
1.524855260784378e-04	3.035764e+00
1.528761510784378e-04	3.035605e+00
1.532667760784378e-04	3.035447e+00
1.536574010784378e-04	3.035288e+00
1.540480260784379e-04	3.035130e+00
1.544386510784379e-04	3.034971e+00
1.548292760784379e-04	3.034813e+00
1.552199010784379e-04	3.034655e+00
1.556105260784379e-04	3.034497e+00
1.560011510784379e-04	3.034339e+00
1.563917760784379e-04	3.034182e+00
1.567824010784379e-04	3.034024e+00
1.571730260784379e-04	3.033866e+00
1.575636510784380e-04	3.033709e+00
1.579542760784380e-04	3.033551e+00
1.583449010784380e-04	3.033394e+00
1.587355260784380e-04	3.033237e+00
1.591261510784380e-04	3.033079e+00
1.595167760784380e-04	3.032922e+00
1.599074010784380e-04	3.032765e+00
1.602980260784380e-04	3.032607e+00
1.606886510784380e-04	3.032450e+00
1.610792760784381e-04	3.032293e+00
1.614699010784381e-04	3.032136e+00
1.618605260784381e-04	3.031979e+00
1.622511510784381e-04	3.031822e+00
1.626417760784381e-04	3.031665e+00
1.630324010784381e-04	3.031508e+00
1.634230260784381e-04	3.031351e+00
1.638136510784381e-04	3.031194e+00
1.642042760784381e-04	3.031038e+00
1.645949010784382e-04	3.030881e+00
1.649855260784382e-04	3.030724e+00
1.653761510784382e-04	3.030567e+00
1.657667760784382e-04	3.030411e+00
1.661574010784382e-04	3.030254e+00
1.665480260784382e-04	3.030097e+00
1.669386510784382e-04	3.029940e+00
1.673292760784382e-04	3.029784e+00
1.677199010784382e-04	3.029627e+00
1.681105260784383e-04	3.029470e+00
1.685011510784383e-04	3.029314e+00
1.688917760784383e-04	3.029157e+00
1.692824010784383e-04	3.029001e+00
1.696730260784383e-04	3.028844e+00
1.700636510784383e-04	3.028688e+00
1.704542760784383e-04	3.028531e+00
1.708449010784383e-04	3.028375e+00
1.712355260784383e-04	3.028218e+00
1.716261510784384e-04	3.028062e+00
1.720167760784384e-04	3.027905e+00
1.724074010784384e-04	3.027749e+00
1.727980260784384e-04	3.027593e+00
1.731886510784384e-04	3.027436e+00
1.735792760784384e-04	3.027280e+00
1.739699010784384e-04	3.027123e+00
1.743605260784384e-04	3.026967e+00
1.747511510784385e-04	3.026811e+00
1.751417760784385e-04	3.026654e+00
1.755324010784385e-04	3.026498e+00
1.759230260784385e-04	3.026342e+00
1.763136510784385e-04	3.026186e+00
1.767042760784385e-04	3.026029e+00
1.770949010784385e-04	3.025873e+00
1.774855260784385e-04	3.025717e+00
1.778761510784385e-04	3.025561e+00
1.782667760784386e-04	3.025404e+00
1.786574010784386e-04	3.025248e+00
1.790480260784386e-04	3.025092e+00
1.794386510784386e-04	3.024936e+00
1.798292760784386e-04	3.024780e+00
1.802199010784386e-04	3.024624e+00
1.806105260784386e-04	3.024467e+00
1.810011510784386e-04	3.024311e+00
1.813917760784386e-04	3.024155e+00
1.817824010784387e-04	3.023999e+00
1.821730260784387e-04	3.023843e+00
1.825636510784387e-04	3.023687e+00
1.829542760784387e-04	3.023531e+00
1.833449010784387e-04	3.023375e+00
1.837355260784387e-04	3.023219e+00
1.841261510784387e-04	3.023063e+00
1.845167760784387e-04	3.022907e+00
1.849074010784387e-04	3.022751e+00
1.852980260784388e-04	3.022595e+00
1.856886510784388e-04	3.022439e+00
1.860792760784388e-04	3.022283e+00
1.864699010784388e-04	3.022127e+00
1.868605260784388e-04	3.021971e+00
1.872511510784388e-04	3.021815e+00
1.876417760784388e-04	3.021660e+00
1.880324010784388e-04	3.021504e+00
1.884230260784388e-04	3.021348e+00
1.888136510784389e-04	3.021192e+00
1.892042760784389e-04	3.021036e+00
1.895949010784389e-04	3.020880e+00
1.899855260784389e-04	3.020725e+00
1.903761510784389e-04	3.020569e+00
1.907667760784389e-04	3.020413e+00
1.911574010784389e-04	3.020257e+00
1.915480260784389e-04	3.020101e+00
